# Barrier Energy Step Time
0.000000000000000000e+00 -5.925001000000000204e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.480000000000000093e-01 -5.924809000000000196e+03 5.000000000000000000e-01 3.367000000000000092e-12
0.000000000000000000e+00 -5.925256999999999607e+03 1.000000000000000000e+00 3.367000000000000092e-12
6.490000000000000213e-01 -5.924512999999999920e+03 1.500000000000000000e+00 6.863999999999999510e-11
0.000000000000000000e+00 -5.925162000000000262e+03 2.000000000000000000e+00 6.863999999999999510e-11
5.999999999999999778e-01 -5.924650999999999840e+03 2.500000000000000000e+00 1.186999999999999882e-10
0.000000000000000000e+00 -5.925251000000000204e+03 3.000000000000000000e+00 1.186999999999999882e-10
6.999999999999999556e-01 -5.924287999999999556e+03 3.500000000000000000e+00 1.427000000000000087e-10
0.000000000000000000e+00 -5.924988000000000284e+03 4.000000000000000000e+00 1.427000000000000087e-10
4.319999999999999951e-01 -5.924610999999999876e+03 4.500000000000000000e+00 1.632999999999999944e-10
0.000000000000000000e+00 -5.925042999999999665e+03 5.000000000000000000e+00 1.632999999999999944e-10
3.639999999999999902e-01 -5.924836000000000240e+03 5.500000000000000000e+00 1.633999999999999993e-10
0.000000000000000000e+00 -5.925199999999999818e+03 6.000000000000000000e+00 1.633999999999999993e-10
5.789999999999999591e-01 -5.924621000000000095e+03 6.500000000000000000e+00 1.716000000000000071e-10
0.000000000000000000e+00 -5.925199999999999818e+03 7.000000000000000000e+00 1.716000000000000071e-10
4.699999999999999734e-01 -5.924958999999999833e+03 7.500000000000000000e+00 1.727999999999999875e-10
0.000000000000000000e+00 -5.925429000000000087e+03 8.000000000000000000e+00 1.727999999999999875e-10
3.920000000000000151e-01 -5.925176999999999680e+03 8.500000000000000000e+00 1.779000000000000009e-10
0.000000000000000000e+00 -5.925569000000000415e+03 9.000000000000000000e+00 1.779000000000000009e-10
6.520000000000000240e-01 -5.924737000000000080e+03 9.500000000000000000e+00 2.446000000000000135e-10
0.000000000000000000e+00 -5.925389000000000124e+03 1.000000000000000000e+01 2.446000000000000135e-10
2.540000000000000036e-01 -5.925516999999999825e+03 1.050000000000000000e+01 2.449000000000000022e-10
0.000000000000000000e+00 -5.925771999999999935e+03 1.100000000000000000e+01 2.449000000000000022e-10
5.290000000000000258e-01 -5.924801999999999680e+03 1.150000000000000000e+01 3.179000000000000086e-10
0.000000000000000000e+00 -5.925332000000000335e+03 1.200000000000000000e+01 3.179000000000000086e-10
8.899999999999999578e-02 -5.925681999999999789e+03 1.250000000000000000e+01 3.179999999999999875e-10
0.000000000000000000e+00 -5.925771999999999935e+03 1.300000000000000000e+01 3.179999999999999875e-10
8.120000000000000551e-01 -5.924550000000000182e+03 1.350000000000000000e+01 3.231999999999999799e-10
0.000000000000000000e+00 -5.925362000000000080e+03 1.400000000000000000e+01 3.231999999999999799e-10
1.829999999999999960e-01 -5.925189999999999600e+03 1.450000000000000000e+01 3.235000000000000203e-10
0.000000000000000000e+00 -5.925373999999999796e+03 1.500000000000000000e+01 3.235000000000000203e-10
8.000000000000000167e-03 -5.925659999999999854e+03 1.550000000000000000e+01 3.235000000000000203e-10
0.000000000000000000e+00 -5.925667999999999665e+03 1.600000000000000000e+01 3.235000000000000203e-10
3.029999999999999916e-01 -5.925070999999999913e+03 1.650000000000000000e+01 3.245999999999999958e-10
0.000000000000000000e+00 -5.925373999999999796e+03 1.700000000000000000e+01 3.245999999999999958e-10
1.950000000000000067e-01 -5.925167000000000371e+03 1.750000000000000000e+01 3.248000000000000054e-10
0.000000000000000000e+00 -5.925362000000000080e+03 1.800000000000000000e+01 3.248000000000000054e-10
1.839999999999999969e-01 -5.925189999999999600e+03 1.850000000000000000e+01 3.248000000000000054e-10
0.000000000000000000e+00 -5.925373999999999796e+03 1.900000000000000000e+01 3.248000000000000054e-10
1.950000000000000067e-01 -5.925167000000000371e+03 1.950000000000000000e+01 3.248999999999999844e-10
0.000000000000000000e+00 -5.925362000000000080e+03 2.000000000000000000e+01 3.248999999999999844e-10
1.839999999999999969e-01 -5.925189999999999600e+03 2.050000000000000000e+01 3.258000000000000020e-10
0.000000000000000000e+00 -5.925373999999999796e+03 2.100000000000000000e+01 3.258000000000000020e-10
8.000000000000000167e-03 -5.925659999999999854e+03 2.150000000000000000e+01 3.260999999999999906e-10
0.000000000000000000e+00 -5.925667999999999665e+03 2.200000000000000000e+01 3.260999999999999906e-10
3.029999999999999916e-01 -5.925070999999999913e+03 2.250000000000000000e+01 3.268999999999999775e-10
0.000000000000000000e+00 -5.925373999999999796e+03 2.300000000000000000e+01 3.268999999999999775e-10
8.000000000000000167e-03 -5.925659999999999854e+03 2.350000000000000000e+01 3.270000000000000082e-10
0.000000000000000000e+00 -5.925667999999999665e+03 2.400000000000000000e+01 3.270000000000000082e-10
3.029999999999999916e-01 -5.925070999999999913e+03 2.450000000000000000e+01 3.299000000000000188e-10
0.000000000000000000e+00 -5.925373999999999796e+03 2.500000000000000000e+01 3.299000000000000188e-10
8.000000000000000167e-03 -5.925659999999999854e+03 2.550000000000000000e+01 3.299999999999999978e-10
0.000000000000000000e+00 -5.925667999999999665e+03 2.600000000000000000e+01 3.299999999999999978e-10
3.029999999999999916e-01 -5.925070999999999913e+03 2.650000000000000000e+01 3.304999999999999961e-10
0.000000000000000000e+00 -5.925373999999999796e+03 2.700000000000000000e+01 3.304999999999999961e-10
8.000000000000000167e-03 -5.925659999999999854e+03 2.750000000000000000e+01 3.305999999999999751e-10
0.000000000000000000e+00 -5.925667999999999665e+03 2.800000000000000000e+01 3.305999999999999751e-10
3.029999999999999916e-01 -5.925070999999999913e+03 2.850000000000000000e+01 3.316000000000000233e-10
0.000000000000000000e+00 -5.925373999999999796e+03 2.900000000000000000e+01 3.316000000000000233e-10
1.950000000000000067e-01 -5.925167000000000371e+03 2.950000000000000000e+01 3.317000000000000023e-10
0.000000000000000000e+00 -5.925362000000000080e+03 3.000000000000000000e+01 3.317000000000000023e-10
1.839999999999999969e-01 -5.925189999999999600e+03 3.050000000000000000e+01 3.334000000000000067e-10
0.000000000000000000e+00 -5.925373999999999796e+03 3.100000000000000000e+01 3.334000000000000067e-10
8.000000000000000167e-03 -5.925659999999999854e+03 3.150000000000000000e+01 3.334999999999999857e-10
0.000000000000000000e+00 -5.925667999999999665e+03 3.200000000000000000e+01 3.334999999999999857e-10
3.029999999999999916e-01 -5.925070999999999913e+03 3.250000000000000000e+01 3.346999999999999919e-10
0.000000000000000000e+00 -5.925373999999999796e+03 3.300000000000000000e+01 3.346999999999999919e-10
