# atom_type event_id atom_id barrier
5.000000000000000000e+00 1.088685000000000000e+06 9.762000000000000000e+03 1.415672199999999936e+00
5.000000000000000000e+00 6.927190000000000000e+05 9.762000000000000000e+03 1.541960350000000091e+00
2.000000000000000000e+00 4.303700000000000000e+05 6.912000000000000000e+03 9.640128700000000217e-01
2.000000000000000000e+00 9.841180000000000000e+05 6.912000000000000000e+03 1.054003790000000107e+00
4.000000000000000000e+00 1.525230000000000000e+05 1.206200000000000000e+04 1.264683299999999899e-01
2.000000000000000000e+00 4.704790000000000000e+05 7.550000000000000000e+03 1.540762000000000034e-02
1.000000000000000000e+00 1.277039000000000000e+06 4.502000000000000000e+03 7.451068199999999475e-01
1.000000000000000000e+00 3.029850000000000000e+05 4.502000000000000000e+03 9.820005600000000223e-01
2.000000000000000000e+00 9.981470000000000000e+05 6.912000000000000000e+03 6.816314999999999458e-01
1.000000000000000000e+00 2.920850000000000000e+05 5.006000000000000000e+03 5.672817000000000137e-02
3.000000000000000000e+00 6.605200000000000000e+05 1.370000000000000000e+02 4.387761199999999917e-01
3.000000000000000000e+00 7.541100000000000000e+05 1.370000000000000000e+02 8.287378199999999584e-01
5.000000000000000000e+00 6.088010000000000000e+05 8.034000000000000000e+03 1.259704139999999972e+00
5.000000000000000000e+00 2.082790000000000000e+05 8.034000000000000000e+03 1.309650339999999913e+00
5.000000000000000000e+00 1.097148000000000000e+06 3.998000000000000000e+03 9.753217400000000481e-01
5.000000000000000000e+00 9.079990000000000000e+05 3.998000000000000000e+03 1.176200499999999982e+00
2.000000000000000000e+00 2.220600000000000000e+04 7.550000000000000000e+03 1.162999010000000055e+00
2.000000000000000000e+00 8.331900000000000000e+04 7.550000000000000000e+03 1.451629449999999988e+00
2.000000000000000000e+00 7.697670000000000000e+05 6.912000000000000000e+03 7.237755500000000453e-01
2.000000000000000000e+00 1.604120000000000000e+05 6.912000000000000000e+03 8.136068699999999820e-01
4.000000000000000000e+00 9.156050000000000000e+05 1.206200000000000000e+04 1.721489999999999999e-03
4.000000000000000000e+00 7.142230000000000000e+05 1.206200000000000000e+04 1.606739999999999948e-03
4.000000000000000000e+00 4.266200000000000000e+04 1.206200000000000000e+04 1.503248600000000046e-01
4.000000000000000000e+00 7.127310000000000000e+05 1.206200000000000000e+04 1.004033000000000009e-02
4.000000000000000000e+00 7.127320000000000000e+05 1.206200000000000000e+04 6.861629999999999639e-03
4.000000000000000000e+00 7.127330000000000000e+05 1.206200000000000000e+04 5.633769999999999750e-03
4.000000000000000000e+00 7.127340000000000000e+05 1.206200000000000000e+04 8.110279999999999226e-03
4.000000000000000000e+00 7.127350000000000000e+05 1.206200000000000000e+04 6.862560000000000188e-03
4.000000000000000000e+00 7.127360000000000000e+05 1.206200000000000000e+04 8.111200000000000701e-03
1.000000000000000000e+00 9.136880000000000000e+05 1.240300000000000000e+04 1.161476970000000053e+00
1.000000000000000000e+00 1.272300000000000000e+04 1.240300000000000000e+04 1.183955960000000029e+00
4.000000000000000000e+00 7.621830000000000000e+05 8.226000000000000000e+03 3.434213700000000036e-01
4.000000000000000000e+00 6.373050000000000000e+05 8.226000000000000000e+03 1.567672800000000088e-01
4.000000000000000000e+00 1.283481000000000000e+06 1.028000000000000000e+03 5.472609299999999788e-01
4.000000000000000000e+00 7.141050000000000000e+05 1.028000000000000000e+03 3.420798700000000081e-01
1.000000000000000000e+00 8.958700000000000000e+04 1.240300000000000000e+04 1.043855889999999897e+00
1.000000000000000000e+00 2.546230000000000000e+05 1.240300000000000000e+04 1.066494300000000006e+00
5.000000000000000000e+00 7.195010000000000000e+05 8.034000000000000000e+03 3.553133669999999800e+00
5.000000000000000000e+00 5.953580000000000000e+05 8.034000000000000000e+03 9.487444999999999906e-02
4.000000000000000000e+00 5.632740000000000000e+05 8.226000000000000000e+03 4.364019640000000422e+00
4.000000000000000000e+00 7.258300000000000000e+04 1.197400000000000000e+04 2.090143100000000087e-01
5.000000000000000000e+00 7.718900000000000000e+04 8.034000000000000000e+03 1.167679579999999939e+00
5.000000000000000000e+00 5.382760000000000000e+05 8.034000000000000000e+03 1.072278719999999907e+00
3.000000000000000000e+00 3.644470000000000000e+05 1.370000000000000000e+02 8.263899599999999790e-01
3.000000000000000000e+00 1.030971000000000000e+06 1.370000000000000000e+02 4.677855000000000207e-01
2.000000000000000000e+00 7.114660000000000000e+05 6.912000000000000000e+03 5.706779199999999497e-01
2.000000000000000000e+00 1.025947000000000000e+06 6.912000000000000000e+03 3.679011899999999891e-01
5.000000000000000000e+00 2.675300000000000000e+04 8.034000000000000000e+03 1.105208420000000080e+00
5.000000000000000000e+00 1.170764000000000000e+06 8.034000000000000000e+03 3.215296899999999791e-01
4.000000000000000000e+00 3.148700000000000000e+05 6.294000000000000000e+03 5.583048499999999637e-01
4.000000000000000000e+00 8.268240000000000000e+05 6.294000000000000000e+03 4.083704200000000117e-01
4.000000000000000000e+00 1.865250000000000000e+05 1.245000000000000000e+03 5.967491999999999797e-01
4.000000000000000000e+00 1.681700000000000000e+05 1.245000000000000000e+03 6.513436900000000307e-01
3.000000000000000000e+00 6.166270000000000000e+05 7.573000000000000000e+03 6.242115499999999484e-01
3.000000000000000000e+00 1.176570000000000000e+06 7.573000000000000000e+03 7.263063800000000292e-01
3.000000000000000000e+00 1.195740000000000000e+05 7.573000000000000000e+03 1.294485529999999995e+00
3.000000000000000000e+00 1.140751000000000000e+06 7.573000000000000000e+03 1.267532920000000063e+00
3.000000000000000000e+00 9.735550000000000000e+05 1.370000000000000000e+02 1.308609179999999927e+00
3.000000000000000000e+00 7.396190000000000000e+05 1.370000000000000000e+02 4.949046400000000068e-01
4.000000000000000000e+00 6.373060000000000000e+05 8.226000000000000000e+03 1.580352700000000055e-01
4.000000000000000000e+00 7.621840000000000000e+05 8.226000000000000000e+03 3.449996499999999910e-01
1.000000000000000000e+00 8.635500000000000000e+04 8.627000000000000000e+03 9.597277100000000116e-01
1.000000000000000000e+00 5.444320000000000000e+05 8.627000000000000000e+03 6.363909500000000108e-01
2.000000000000000000e+00 4.593500000000000000e+05 5.540000000000000000e+02 6.611774000000000262e-01
2.000000000000000000e+00 4.261090000000000000e+05 5.540000000000000000e+02 6.366951400000000483e-01
1.000000000000000000e+00 5.854440000000000000e+05 1.639000000000000000e+03 8.621413900000000075e-01
1.000000000000000000e+00 5.487730000000000000e+05 1.639000000000000000e+03 8.022700099999999779e-01
2.000000000000000000e+00 6.155610000000000000e+05 1.133100000000000000e+04 8.061721400000000370e-01
2.000000000000000000e+00 9.153820000000000000e+05 1.133100000000000000e+04 3.244135799999999792e-01
3.000000000000000000e+00 7.409220000000000000e+05 1.073900000000000000e+04 1.200702200000000053e-01
4.000000000000000000e+00 9.865430000000000000e+05 3.006000000000000000e+03 2.111775000000000110e-02
4.000000000000000000e+00 1.037268000000000000e+06 8.226000000000000000e+03 1.730652500000000038e-01
1.000000000000000000e+00 5.021260000000000000e+05 1.240300000000000000e+04 2.705911000000000080e-02
4.000000000000000000e+00 1.098942000000000000e+06 3.006000000000000000e+03 1.188317599999999946e-01
3.000000000000000000e+00 5.638270000000000000e+05 1.073900000000000000e+04 4.412136199999999731e-01
